                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97729,                  3.053,                 1.2755,                0.57712,                0.45972,                0.48073,                0.29376,                 1.2356,                  1.861,                 1.4854,               0.003318,               0.003318,               0.003318
                      2,                0.98415,                 1.7203,                 1.2742,                0.47214,                0.36853,                0.35143,                0.20015,                 1.3997,                 2.1819,                 1.6717,              0.0065855,              0.0065855,              0.0065855
                      3,                 1.0502,                 1.7252,                   1.32,                0.37805,                0.20788,                0.19297,                0.09854,                 1.7294,                 2.7431,                 2.0192,              0.0097869,              0.0097869,              0.0097869
                      4,                 1.1561,                 1.8779,                 1.4094,                0.34384,                0.25316,                0.18888,                0.09081,                 1.8212,                 2.6216,                 2.0609,               0.009703,               0.009703,               0.009703
                      5,                 1.1007,                 1.6707,                 1.3615,                0.38972,                0.29284,                0.26273,                 0.1401,                 1.6271,                 2.5662,                 1.9098,               0.009604,               0.009604,               0.009604
                      6,                 1.0395,                 1.4864,                 1.3174,                0.41299,                0.34927,                0.31724,                 0.1686,                 1.5817,                 2.1529,                 1.8547,               0.009505,               0.009505,               0.009505
                      7,                 1.0037,                 1.3929,                 1.2968,                0.41286,                0.35427,                0.33194,                0.17576,                 1.5897,                 2.0735,                 1.8407,               0.009406,               0.009406,               0.009406
                      8,                0.97005,                 1.2812,                 1.2728,                0.48093,                0.36602,                0.36789,                0.20627,                 1.5383,                 2.0338,                 1.7936,               0.009307,               0.009307,               0.009307
                      9,                0.91904,                 1.1761,                 1.2336,                0.51944,                0.38436,                0.40148,                0.22517,                 1.5479,                  2.078,                 1.8552,               0.009208,               0.009208,               0.009208
                     10,                0.89533,                 1.1199,                 1.2197,                0.46304,                0.35354,                0.36493,                0.20361,                 1.5362,                 1.9878,                 1.7902,               0.009109,               0.009109,               0.009109
                     11,                0.87296,                 1.0868,                 1.2112,                0.51223,                 0.3922,                0.39768,                0.22982,                 1.5163,                 1.9433,                 1.7726,                0.00901,                0.00901,                0.00901
                     12,                0.84695,                 1.0381,                  1.192,                0.48682,                0.41158,                0.40599,                0.23087,                 1.4802,                 1.8853,                 1.7421,               0.008911,               0.008911,               0.008911
                     13,                0.82418,                0.99768,                 1.1804,                0.54383,                0.41655,                0.42831,                0.24467,                 1.5095,                 1.8875,                 1.8091,               0.008812,               0.008812,               0.008812
                     14,                0.80406,                 0.9574,                 1.1683,                0.55451,                0.43948,                0.45141,                0.25283,                 1.4731,                 1.7683,                 1.7025,               0.008713,               0.008713,               0.008713
                     15,                0.80018,                0.93827,                 1.1692,                 0.5398,                0.42219,                0.45059,                0.26273,                 1.4515,                 1.7837,                 1.7108,               0.008614,               0.008614,               0.008614
                     16,                0.77385,                 0.9107,                 1.1517,                 0.5136,                0.43335,                0.44693,                 0.2702,                 1.4473,                 1.7719,                 1.6953,               0.008515,               0.008515,               0.008515
                     17,                0.76802,                 0.8968,                 1.1499,                0.53238,                0.46269,                0.47428,                0.27273,                 1.4277,                 1.6855,                 1.6888,               0.008416,               0.008416,               0.008416
                     18,                  0.756,                 0.8716,                 1.1418,                0.55719,                0.43005,                 0.4601,                0.27664,                 1.4348,                 1.7229,                 1.7083,               0.008317,               0.008317,               0.008317
                     19,                0.73231,                0.84527,                 1.1282,                0.55963,                 0.4491,                0.47205,                0.28101,                 1.3906,                 1.7002,                 1.6582,               0.008218,               0.008218,               0.008218
                     20,                0.73426,                0.83399,                 1.1286,                0.56882,                0.44099,                0.46566,                0.27657,                 1.4301,                 1.7943,                 1.6905,               0.008119,               0.008119,               0.008119
                     21,                0.71954,                0.81834,                 1.1176,                   0.56,                0.47743,                0.48941,                0.29317,                 1.4041,                 1.5957,                 1.6535,                0.00802,                0.00802,                0.00802
                     22,                0.71344,                0.80946,                 1.1194,                0.57146,                0.47593,                0.49721,                0.29554,                 1.3945,                 1.6344,                 1.6621,               0.007921,               0.007921,               0.007921
                     23,                 0.6984,                0.78227,                 1.1111,                0.59873,                0.49446,                0.52868,                0.32312,                 1.3866,                 1.5614,                 1.6587,               0.007822,               0.007822,               0.007822
                     24,                0.69196,                0.77396,                 1.1042,                0.58529,                0.47129,                0.50903,                0.31172,                 1.3685,                 1.5919,                 1.6329,               0.007723,               0.007723,               0.007723
                     25,                0.68154,                0.76397,                 1.0992,                0.58204,                0.47053,                0.50963,                0.30645,                 1.3876,                  1.582,                 1.6552,               0.007624,               0.007624,               0.007624
                     26,                0.67907,                0.75743,                 1.0965,                0.62371,                0.46944,                0.51742,                 0.3163,                 1.3667,                 1.5405,                 1.6417,               0.007525,               0.007525,               0.007525
                     27,                0.67513,                0.75021,                 1.0959,                0.60542,                 0.4789,                0.52209,                0.32461,                 1.3533,                 1.5534,                 1.6212,               0.007426,               0.007426,               0.007426
                     28,                0.66473,                0.73915,                 1.0899,                0.58978,                0.48463,                0.51751,                0.31724,                 1.3523,                 1.5288,                 1.6207,               0.007327,               0.007327,               0.007327
                     29,                  0.658,                0.73111,                  1.085,                0.59468,                0.50813,                0.54255,                0.33401,                 1.3311,                 1.4785,                  1.581,               0.007228,               0.007228,               0.007228
                     30,                0.65123,                0.71669,                 1.0812,                  0.568,                0.50778,                0.54542,                0.33792,                 1.3232,                 1.4574,                 1.5813,               0.007129,               0.007129,               0.007129
                     31,                 0.6438,                0.70931,                 1.0789,                0.58099,                0.50224,                0.53462,                0.33755,                 1.3286,                 1.5103,                 1.5846,                0.00703,                0.00703,                0.00703
                     32,                0.63661,                0.69747,                 1.0738,                0.60628,                0.52298,                0.55149,                0.34147,                  1.318,                 1.4499,                  1.576,               0.006931,               0.006931,               0.006931
                     33,                0.62603,                0.68413,                 1.0705,                0.61258,                0.49537,                0.52984,                0.33102,                 1.3272,                  1.482,                 1.5845,               0.006832,               0.006832,               0.006832
                     34,                0.62418,                0.67787,                 1.0654,                0.57406,                0.53195,                 0.5481,                0.34272,                 1.3274,                 1.4946,                  1.595,               0.006733,               0.006733,               0.006733
                     35,                0.61712,                0.67237,                 1.0643,                0.59623,                0.52204,                0.55877,                0.35166,                 1.3006,                  1.418,                 1.5521,               0.006634,               0.006634,               0.006634
                     36,                0.61446,                0.66797,                 1.0654,                0.59613,                0.52713,                0.55042,                0.34605,                 1.3064,                 1.4216,                  1.555,               0.006535,               0.006535,               0.006535
